utterance,intentClass,score
this dog wr really wants me,E,0.23812068
puck WTFUCK,E,0.4398409
GOOD GAME NOOB MID,E,0.30527395
literally a monkey,E,0.3827457
lacky,E,0.17805049
hey my dear friend  don't kill noob team,E,0.3308965
ez fucking invo,E,0.45757914
ACLHE ACCOUNT BUYER SHIT,E,0.44039994
u mad?,E,0.39669925
100 trash,E,0.38811707
Da fuck,E,0.4013387
stfu pls,E,0.4014846
emo noobs,E,0.39441586
gg tiny noob itny rperot tiny,E,0.3375374
ok noobs|,E,0.37751234
GG kids,E,0.09308127
NOOB TEAM,E,0.3389984
noobs,E,0.36456755
you still noob,E,0.47886392
is worst dota,E,0.27236435
NOOB WEAVER,E,0.32397532
russian throw,E,0.19029272
LMAO FUCKING VLADS VIPER ROFL,E,0.4269174
you noob,E,0.4826145
yewa yea it was pissing me off,E,0.4475325
... we fukin lost,E,0.39842087
NOOBS,E,0.37458646
yeah noob am tho,E,0.2854835
oh shit HAHAHA,E,0.4014846
gg report wr pls  retard 2 times,E,0.49139655
so bad,E,0.22177623
oh yeah forgot your mums a dude,E,0.37955463
2k shit,E,0.4645176
STUPID PA AND KUNKKA,E,0.40614098
shit tier sniper gg,E,0.3625127
HAHAHA FAK U DOOM,E,0.45243698
noob item,E,0.31132057
stfu,E,0.39231625
trash delete dota plz,E,0.43230394
injoker noobs,E,0.39021665
NOOB HITTERS,E,0.3389984
to much talk noob,E,0.47119883
u called gg u can leave son,E,0.11652588
trash,E,0.47473195
noob carry,E,0.32712606
useles team,E,0.4014846
i'm getting called a noob BY A 0 DAMAGE 0-6 LC ROFL,E,0.37751234
noob free mmr,E,0.295883
nice afk dual mid trahs,E,0.31686464
SPECTRE NOOB,E,0.32128486
Gg nerds,E,0.4014846
but they say sniper sucks sniper buy wards/no miss for sniper ez line 0-6,E,0.4977744
alche sooo shit,E,0.3972142
noob lover Facke discoonect,E,0.41910073
FKING EARTH,E,0.37694603
u r losing shhhh shhh shh Shhh Shh,E,0.33587718
"no , this is eu room so speak english",E,0.085582085
nothing from about being gay,E,0.36095104
rape,E,0.45751464
wtf?!! pro sf,E,0.49139655
noovs noobs* .!.,E,0.28425202
noob alc,E,0.3389984
:laugh :Laugh: shit,E,0.4014846
trust me guys 5k is worst then 4k,E,0.17545098
Noob spirit,E,0.32074678
no fkn dmg,E,0.36043653
Trash,E,0.45751464
he dl porn HA,E,0.46716887
ｈａｈａｈ Ｌｍａｏ ｖｉｖａ　ｌａ　ｐｅｒｕ ｖｉｖａ　ｌａ　ｇｙｒｏ,E,0.47886392
"you very bad,wk",E,0.4013387
noob team,E,0.3722269
RUBICK I SAY U U LOST,E,0.2820025
no really are u russian?,E,0.119997114
NOOBS,E,0.37458646
noob slark thats all,E,0.3250515
STFU,E,0.3722269
that noobest slardar ever i swear,E,0.4269174
wehn there is a tard suport in my team,E,0.30427247
holys hit taht bash,E,0.30527395
ｓｔｏｐ　ｔｒｙｉｎｇ　ｔｏ　ｓｐｅａｋ　ｅｎｇｌｉｓｈ　ｐｅｒｕ,E,0.41690505
u guys just bad but,E,0.3625127
you only run ahhaha,E,0.15048122
qop taste like chicken,E,0.2854835
report alche is very noob,E,0.4013387
noob hook >.<,E,0.27236435
didnt rape,E,0.35186127
Worst invoekr ive seen in a long time,E,0.37694603
GAGLHWSLHW HSLDHLWHWL LHAWLGAL AHAHGAH QOP Y TRASH 100HP ULTY SELL ACC,E,0.28857216
u will loose this acc,E,0.112540044
joker top? 3v1?,E,0.050326355
rat is so noob,E,0.4475325
am you cant stop us you noob,E,0.4826145
HAHA AM NOOB go def,E,0.3317266
nicee noobs realy gj,E,0.3281604
gg 5k team flaming russians xd,E,0.3625127
team noobs,E,0.32712606
cYKA RUSSIAN NOOBS,E,0.47772613
dumb 4 vs 5 ? u say ez? haha,E,0.37458646
nice reaction noob,E,0.4274071
2-8 meepo yes im noob XD,E,0.25462922
fu,E,0.23523538
SAD,E,0.034513097
over confident noob,E,0.36095104
I thought canadians were meant to be polite,E,0.17111848
useless supports are friends lol look it,E,0.4269174
Que izi :v,E,0.055042017
how manyu time u escape from them? noob,E,0.47119883
god dammit rubrick wtf,E,0.4269174
pepe from peru we lost,E,0.17545098
gj noob am AUTISM !,E,0.46982017
REPORT WISP OMG,E,0.14429577
merica fk yea,E,0.4838166
necro noob,E,0.42985553
YOU KIDS DON'T HAVE MONEY TO PLAY ?,E,0.05205809
ofc typical russian rubick,E,0.3811502
tiny last game very noob tiny ? last game ? very noob,E,0.4575469
gangbang...,E,0.3974717
trash game,E,0.44393396
report urself,E,0.26293078
agaisnt thuis trash doom,E,0.29039988
Russian do not surrender,E,0.16765249
hmmm hmmm hmmm are you crying?,E,0.11378009
muted noob,E,0.46186632
Noob team reported,E,0.30716252
i'm noob,E,0.2412222
play lol,E,0.10696511
noob sniper,E,0.37751234
"please report magnus, gg gntie",E,0.1373533
shame sven shame,E,0.36456755
peruvian alche ^^,E,0.18364124
noobs talk more,E,0.3827457
omni 0 5,E,0.031684756
Shitstain will be more suitable,E,0.36095104
@hits 2hits Haha,E,0.11223003
cuz is peruvian,E,0.15545623
STFU))))))))))))),E,0.3561489
wtf  Wooden pc,E,0.17718399
fuck  Ez? mid :D,E,0.3389984
wp this ember so noob haha,E,0.45090583
the real noob is OD,E,0.30464804
u are u need new meta new noob,E,0.41445592
sf got his firsts assistrs,E,0.06500591
USLES hah,E,0.2648175
stfu,E,0.39231625
gg afk russian succes mid gap,E,0.16678599
s so useless,E,0.43720075
pl say u all noob,E,0.47119883
haha is SF russian,E,0.20032968
GG NOBOS,E,0.08874765
Hahaha ulti for me hahaha ff my team is nooobs,E,0.37073207
me have noob team  4.2 mmr  who ?,E,0.20219094
tinker noob,E,0.41690505
noob item noob team also noob play,E,0.4850187
is itmorning for peru or something cuz,E,0.11912931
tetris with ur mom ok :)),E,0.37458646
come 1v1 noob,E,0.3811502
sure u dont wanna wait?,E,0.021314176
this nanashi same noobs HAHA like u? still wanna solo mid? HAHA,E,0.47119883
peru,E,0.034277402
we see u noob,E,0.44933176
noob team,E,0.3722269
incest?,E,0.3625127
Shit HAHAHA,E,0.3811502
NICE EUL SHIT REPORT INVOKER PLS,E,0.3266089
bb gg go push plz tard SF and russian dark seer can't win  gg,E,0.36095104
can u speak eng?,E,0.03875561
gg wp report invoker for losing against bane,E,0.16245349
"yeah, garbage supports",E,0.4838166
like dog biscuit,E,0.11367676
"It's a shame dota is a team game then, troll",E,0.49139655
can you report this qoq so that he can meet his lina friend again?,E,0.1269396
noob anti mage ever saw,E,0.38434127
stop your mother,E,0.45921504
TA is useless against our line up,E,0.30136615
just tell them dont random la  too noob,E,0.37576625
but he noob,E,0.37751234
stfu you said that all game Just play,E,0.47173777
your mother is easy,E,0.4269174
and you are 7k losing at 3k,E,0.09438288
train harder,E,0.04290464
peru?,E,0.024142517
gg afk 2 4k mmr mm tasty shit,E,0.37955463
NOOB ENEMY,E,0.32074678
haha Free hit,E,0.13908891
all lanes lost,E,0.054284602
THIS TAEM XDDDD WTF IOS THIS SHTI,E,0.3389984
report zeus noob mid,E,0.33255672
dem void too noob good game anyways,E,0.295883
stop def,E,0.09568449
he lag gg peru,E,0.102192536
aww n oob,E,0.37751234
"smurfs with 5k account, yes gg account boosting like 'pros'",E,0.08716487
what a peru player,E,0.11036996
you mam,E,0.11440011
4k? Dont you belond in 1k?,E,0.06381883
thats called panic,E,0.043399423
useless daz's grave comes out though,E,0.4269174
noob vs win,E,0.2359567
teeny dogged me so hard :/,E,0.37073207
just report this ...,E,0.071337044
6 assist 0 kills 40 min gam,E,0.16851899
BRAINLESS QOP,E,0.3811502
i know iam noob,E,0.25462922
noob storm,E,0.30514878
ACLHE WTF,E,0.2524482
GG puck noob,E,0.3972142
but mexicans?,E,0.11357342
haha NT :P,E,0.017341165
noob team,E,0.3722269
Blood cyka,E,0.23667802
pfft trash green my god,E,0.28547668
noob? jahjahahajajaja ty puck,E,0.37955463
16/3 but lost lane to a solo enchantress,E,0.050573748
wr worst player,E,0.36043653
2 useless pick for our cores,E,0.3722269
this wr is worse.,E,0.26293078
alche say wk noob come 1v1 him,E,0.34757367
"well 4,5 is trash",E,0.47119883
FCK DIS TEAM 3 CORE PLS MERCY,E,0.46186632
STFU STFU STFU,E,0.3977292
yes im gay,E,0.32182294
rubick peruvian xd,E,0.28425202
ez comeback is real noobs,E,0.31963667
two noob mid,E,0.36043653
noob team,E,0.3722269
no brain lc,E,0.31132057
i hook noob sry,E,0.39021665
stupid lion lel wkdopqwkdqwp,E,0.45243698
every server is rus server,E,0.09481675
trash,E,0.47473195
pls report omni..,E,0.0926474
please report them all,E,0.25462922
noob not say mnay,E,0.3561489
the bottles LOl such a game losing mistake,E,0.22043827
noob jug ? first blood,E,0.32557452
"yeah, just need 20sec",E,0.039462693
like wtf team,E,0.4398409
