utterance,intentClass,score
this why i quit dota too ez,I,0.07054565
ragequit,I,0.06500591
gg sf,I,0.11098998
acc buyer? kek,I,0.018723432
ez alchemist,I,0.045873325
ez coin bro so quiet,I,0.08874765
ez 1000 coin loss,I,0.036634352
feed ?,I,0.017089844
free mmr,I,0.02402467
gg ez carry,I,0.026735162
muted and good luck in low,I,0.18649188
pizza at the door?,I,0.019477395
thats rage quit,I,0.11450345
WP  commend me,I,0.032391842
he cried me being level 3 when i stack 5x for him,I,0.07054565
0 3 lol,I,0.075294
nice fed pa,I,0.13388206
account buyer,I,0.019100413
GG SLARDAR 2-9 Still lvl 13,I,0.034748793
16 out of 20 deaths is sa,I,0.119997114
ez top i get 3-0 solo ez drow and lion,I,0.03109552
4k master race pro doom pro slark,I,0.03875561
my team no one can pick support its hard to play like this,I,0.043646812
because ez,I,0.019854378
reported ragequit,I,0.11119666
he raged,I,0.19124292
ez every lane really,I,0.027324399
and cry,I,0.10956833
Ez for me,I,0.029799197
too ez,I,0.03639866
oO am i crying ?,I,0.03309893
howlonghave u played dota for ?,I,0.050573748
NICE 3K IO,I,0.04290464
oh hes 2k lol,I,0.075294
easy,I,0.023788974
wadhawdujaw 0-6-3 rage quit,I,0.054779384
as long as pa 025,I,0.015896067
0 damage duels,I,0.034748793
how is scared of losing related to being poor? =D,I,0.11181668
too EZ BS,I,0.08083374
ez ES,I,0.010555492
report mmy team ez mid,I,0.11388343
angry,I,0.10566349
report wr acc buyer,I,0.07371122
what do u mean okay,I,0.020842785
ez top lane like ffs ez,I,0.07371122
kid mid,I,0.038991302
GG EZ EZ GAME FOR MY LIFE,I,0.017969469
he rage quit,I,0.16851899
ez coins,I,0.023553278
too ez,I,0.03639866
account buyer i think,I,0.021432023
we could gank sf soo easy,I,0.1182615
u rich 1k,I,0.11398677
i guess go dota fail,I,0.18744208
alch account buyer?,I,0.00719407
this alch wins sadly,I,0.13561769
ez our mid,I,0.09785384
GG NATURE EZ,I,0.015581916
catch me pls,I,0.11192002
jajaja ez jajajaj xD,I,0.005434822
absolutely no faith,I,0.07291982
pudge what u said?,I,0.112746716
very ez game,I,0.028502874
fail mid ?,I,0.036870047
league uis for kids,I,0.08320791
1 vs 4 in mid,I,0.018974753
FEED PLEASE,I,0.06065326
no english,I,0.049584184
easy),I,0.019854378
FU i agree i dont know why he dont fight we can win fight and push same,I,0.16851899
4k alch buying armlet against aa,I,0.04760506
alchemist can u delete ur account pls?,I,0.16851899
mid too fail hahahaha,I,0.19124292
ez dual top,I,0.029092113
ez GG GG WP ez top,I,0.01822079
HOW BORING PISTE,I,0.1104733
"oh well, ez sb at least",I,0.049584184
funny that 0-3 wk randomer says that,I,0.10522962
just feed could u pls report slark,I,0.1883923
can u leave plz and save us time <3,I,0.06263174
no 1 assist ^^,I,0.028856417
we won,I,0.027677942
feed ),I,0.02873857
EZ OF MY LIFE EZZZ,I,0.043399423
GG GG EZ mid,I,0.06203551
AGHAHAHHAHA gg fail mid,I,0.07371122
ez game lion u called gg?,I,0.032863233
easiest game of my life,I,0.039935954
blame time gg boys,I,0.13041082
nice feed gg,I,0.048099842
lol we lost already dw,I,0.09872158
too ez,I,0.03639866
EZ someone died,I,0.15656179
fail grammar,I,0.10956833
see if u can go down for ez?,I,0.055521555
ez coins,I,0.023553278
too ez,I,0.03639866
delet dota,I,0.09785384
go feed,I,0.08004235
ez gank,I,0.04785245
disaster,I,0.10826672
easy,I,0.023788974
feeeder? AM FEEDER,I,0.033806015
cry mode on,I,0.102192536
"5k' player picks enigma when I said i was roaming , '5k' player picks enigma when we already have a roaming sb thats life",I,0.085582085
have you heard me say a word?,I,0.030034892
its rage quit,I,0.11129999
ez this wevaer + rubick,I,0.15048122
one day allov u all of u,I,0.06817148
let it go on just to get some items ez wins,I,0.041172907
ez bois,I,0.023671126
