,utterance,intentClass,score
114,gg,O,0.003705064
115,thanks [SEPA] sorry,O,0.013579526
116,he's online [SEPA] just 1 min [SEPA] TY,O,0.040271442
117,report mid [SEPA] ty,A,0.03457878
118,And ?,O,0.005646204
119,report him,A,0.011766338
120,comment me,A,0.009469092
121,haiz [SEPA] keep call support [SEPA] so gay,E,0.5495108
122,what is this game ?,O,0.030594127
123,Ezz,O,0.8989141
124,so scare,I,0.026949978
125,DUDE [SEPA] WTF [SEPA] FUCKIN RETARD [SEPA] U DONT DO SHIT,E,0.98223317
126,^,O,0.004252068
127,LOL,O,0.003834314
128,:),O,0.005566981
129,|and DS,O,0.010939123
130,eiiii,O,0.20930083
131,throw of the year,O,0.01401064
132,still 0 team work,O,0.14663635
133,how can u win with 4 peruvians on ur team [SEPA] ?? [SEPA] think about it,E,0.8498487
134,is that an old calculator his using?,O,0.051177286
135,coz team comes noob [SEPA] and only thing left is rat [SEPA] lol [SEPA] gj [SEPA] Gk [SEPA] jk,O,0.98528177
136,rofl,O,0.008073466
137,;p,O,0.004130003
138,no,O,0.010562891
139,commend alche hahahah,A,0.022675768
140,4k shit,E,0.97509176
141,EZ [SEPA] wag mainis,I,0.98697853
142,ty for ult  [SEPA] rexxar,O,0.07245673
143,yo wtf [SEPA] wr are u on my friends,O,0.08211835
144,fuckü,O,0.9789249
145,lel,O,0.004434214
146,3k sf take it easy [SEPA] you know how they are,I,0.15141205
147,nice tower,O,0.006758193
148,u got one,O,0.013955427
149,haah,O,0.017917387
150,STOP DEF [SEPA] IDIOTS [SEPA] ALYANSOV NASMOTRELIS?,O,0.8304023
151,gg,O,0.003705064
152,EZ PTS [SEPA] V SOLYANOVO,I,0.98098963
153,GGWP,O,0.003610623
154,i give up,O,0.010191853
155,nice detection,O,0.013581129
156,hes coming,O,0.007145959
157,wtf he alwayz dc,O,0.03261526
158,so what are u doing beffore?,O,0.22288612
159,SUQOOA,O,0.008252972
160,yes ES,O,0.00485872
161,BOYS,O,0.010147775
162,3v1 mid,O,0.14990634
163,ya,O,0.006155929
164,GG,O,0.003705064
165,easy mid report pls,I,0.052736394
166,dr i think i have to hunt her,O,0.016553277
167,IDIOT DOG,E,0.9848818
168,ez sup,I,0.9848541
169,ur not getting famapage [SEPA] ra,O,0.09041671
170,one day [SEPA] I will hear [SEPA] the lovely sound of [SEPA] fresh meat,O,0.63740087
171,its 25 min game,O,0.015208583
172,too fast >.>,O,0.012086224
173,FF,O,0.008180552
174,"you're fighting rosh and going for kills in jungle [SEPA] mb if you got together on 1 lane and pushed, it'd be ok",A,0.11957188
175,noob am [SEPA] ez,E,0.99105495
176,well that was embarasing,O,0.044850633
177,wirth,O,0.017872335
178,WTF,O,0.006190833
179,käft,O,0.008119158
180,YOU SAVED SK [SEPA] ASDIJANOSDAS,O,0.065255955
181,ez,I,0.9906709
182,all dota plyer,O,0.022669222
183,bye,O,0.005503401
184,dont def pls [SEPA] i dont have money [SEPA] haha,O,0.05514227
185,u will lose),I,0.03198587
186,uyy,O,0.107262544
187,haha,O,0.005444543
188,his muted [SEPA] so we dont even knw,O,0.004548713
189,good bf [SEPA] jag,O,0.009545639
190,,O,0.004165188
191,?,O,0.005423264
192,haha,O,0.005444543
193,epic fail [SEPA] of  [SEPA] axe,O,0.042817082
194,i never lose with wisp mid [SEPA] lmao,O,0.07731917
195,lol,I,0.003834314
196,sb?,O,0.011710684
197,haha,O,0.005444543
198,ez mirana game [SEPA] 1st time to play this hero as a carry XD [SEPA] thnak you [SEPA] ggwpp,I,0.96069926
199,WTB SUN STRIKE [SEPA] HAHAHA,O,0.009987167
200,no one notice my item,O,0.090128176
201,bh commend,A,0.009238095
202,kjkustu wtf vs 5,O,0.031130282
203,yea end fast [SEPA] we are paper [SEPA] lol,O,0.04745373
204,ez,I,0.9906709
205,disrupter is asshole,E,0.9723956
206,aa rapes alche,E,0.8544148
207,HAPPY DEFF,O,0.041027203
208,run am,O,0.043303102
209,it is [SEPA] not at 30min,O,0.010834642
210,really? [SEPA] hahaha,O,0.010252124
211,we've paused too many times,O,0.004494463
212,i bought the culling blade just for you <3,O,0.03420683
213,(,O,0.00596713
214,kuunka too gooddddddddddddd,O,0.049038958
215,have a fun game brown,O,0.07418151
216,kfc wifi,O,0.016781043
217,HHAHA [SEPA] HAHA,O,0.006152701
218,haha,O,0.005444543
219,these randoms,O,0.063162714
220,"My team is feeding so much, our team name is Soup Kitchen",E,0.7879517
221,end,O,0.005261279
222,GG NOOBS [SEPA] ez life ez noobs,E,0.9915147
223,fab,O,0.015745044
224,w,O,0.004150371
225,its cause no good supp,O,0.019481089
226,gg noob team [SEPA] too late to put wards,E,0.98225486
227,gg,O,0.003705064
228,GLHF,O,0.003629706
229,commend me,A,0.012103174
230,i alt f4 WAHAHHA,O,0.06737251
231,nop you only can play riki,O,0.08545463
232,lol umad,O,0.012127713
233,finish,O,0.010023309
234,really? [SEPA] forever is just a word dude,O,0.09340658
235,play with monogolian,I,0.12867126
236,lag ?,O,0.00384483
237,why,O,0.006122117
238,GG,O,0.003705064
239,4 eyes cram it,O,0.024895499
240,rly?,O,0.004848004
241,ez mid,I,0.9909566
242,From 6k down to here,I,0.012900008
243,ggo fin,O,0.007682608
244,ahaha [SEPA] ahaahaah,O,0.011843937
245,sure,O,0.010359842
246,ever!!! [SEPA] reported please,A,0.015177599
247,WTF,O,0.006190833
248,RUn?,O,0.010115227
249,lol,O,0.003834314
250,its your moms name,E,0.677847
251,fuck,O,0.9805845
252,no bb?,O,0.028564256
253,resdtart go,E,0.014465639
254,gg wp,O,0.004298163
255,sad,O,0.01009729
256,lol,O,0.003834314
257,only  1 report per game count   ^^,A,0.051329143
258,nice game,O,0.018605134
259,LATE,O,0.006081352
260,stupid game,E,0.97793305
261,skill,O,0.007231302
262,gg,O,0.003705064
263,happy def top mid,O,0.054821815
264,Haha,O,0.005444543
265,ez [SEPA] noob silencer,E,0.992073
266,okay?,O,0.013744634
267,LOL [SEPA] BLAME TIME,O,0.04196214
268,./.,O,0.006806187
269,nc,O,0.009220676
270,say something mir?,O,0.018347815
271,pro arrows,O,0.008251106
272,haha,O,0.005444543
273,gg [SEPA] gg carrys [SEPA] i bb [SEPA] i end dis [SEPA] ty,O,0.02594713
274,hard game [SEPA] kappa,O,0.12174409
275,ｓｈｅ？！,O,0.006626912
276,sure [SEPA] why not,O,0.010528326
277,yes i will pay later [SEPA] siap bos,O,0.0211925
278,gg ez,I,0.9829404
279,end,O,0.005261279
280,FUCKING BRAIN! [SEPA] MY HEAD ACHE}] [SEPA] WHATS WRONGGGG [SEPA] OUCH!,E,0.97338223
281,??,O,0.006067504
282,why u hate your mate?,O,0.15287967
283,KUTN GOT M] [SEPA] wAS FUKING ROUND FOR TOO LONG [SEPA] finally u call for noob hlp,E,0.98367864
284,then + xboct,O,0.007397067
285,me 2,O,0.015599208
286,GGWP,O,0.003610623
287,alchemist feed,I,0.29173577
288,fuck that,E,0.9800442
289,i tried :(,O,0.009269502
290,ff mid,O,0.02617287
291,with the will of wk [SEPA] GG wk [SEPA] owned tiny so bad [SEPA] his mther knows,O,0.11597296
292,desperate?,O,0.041471492
293,we lost,O,0.006179018
294,GRET [SEPA] JUST [SEPA] spam [SEPA] ursa [SEPA] everysingle [SEPA] game,O,0.07961623
295,report puck pls,E,0.019478817
296,Ggwp,O,0.003610623
297,1z1,O,0.69811237
298,LOL,O,0.003834314
299,,O,0.004165188
300,LMAO 5 top,O,0.034195866
301,0,O,0.13775957
302,juz a game,O,0.28672522
303,give it or unpause,A,0.01770451
304,HAHA,O,0.005444543
305,hha,O,0.00458088
306,so easyyyyyyyyyyyyyyyyyyy,O,0.043139026
307,fukcing necro [SEPA] rp necro,E,0.50576544
308,ty :D,O,0.006688338
309,heard you guys like ur medusa's freefarmed [SEPA] some first timer TA here,O,0.07182031
310,u have such low heroes [SEPA] go play league pls,O,0.16445602
311,EZ [SEPA] EZ [SEPA] EZ,I,0.9908805
312,ggw,O,0.00371096
313,in game,O,0.020751396
314,FUCK U BROWN,E,0.9831156
315,GG,O,0.003705064
316,1v1 noobs,E,0.9847794
317,go ff,O,0.012384182
318,haha u so bad [SEPA] shut the fuck up,E,0.97898805
319,best support,O,0.011611265
320,rofl [SEPA] love idiots like you lion,E,0.7555169
321,lil bitch,E,0.97851884
322,what you wanted ? ))),O,0.007883883
323,sps,O,0.009308557
324,wth,O,0.005011387
325,remember to do some damage [SEPA] if not u afk,A,0.024108121
326,raise the white flag,O,0.016058618
327,2 stepd noob,E,0.981687
328,xdddd,O,0.008695459
329,lol,O,0.003834314
330,Fail slardar,I,0.026407253
331,good thing you guys are devoting so much to kill me [SEPA] and letting naga do her thing,O,0.25199753
332,no you didnt,O,0.012132027
333,ggwp,O,0.003610623
334,gg,O,0.003705064
335,my dad [SEPA] indian,O,0.4217404
336,pussy at the door,E,0.8190821
337,the es 0:00 no stun tard [SEPA] so wp,O,0.055160392
338,TA,O,0.005019533
339,cyka dazzle,E,0.09513888
340,ll [SEPA] (:,O,0.010479964
341,no ur only a baby,O,0.607492
342,#NAME?,O,0.007080075
343,You're right [SEPA] That was lol funny,O,0.072030194
344,gg [SEPA] im done,O,0.00993951
345,Shit.,E,0.9785043
346,what balls,O,0.016199315
347,cant handle,O,0.04453015
348,peru win <3,E,0.17584774
349,20,A,0.019975856
350,hahaha [SEPA] its int dude [SEPA] me?,O,0.032574918
351,THIS GYRO,O,0.006982024
352,i wish i had a team,O,0.020890491
353,:3,O,0.009077095
354,gg wp,O,0.004298163
355,TRY HARD?,I,0.049016103
356,wr is doing fine,O,0.030854525
357,gg,O,0.003705064
358,fucking noobs [SEPA] PLEASE GIVE A CHALLENGE NEXT TIME,E,0.9914231
359,gg,O,0.003705064
360,Lol,O,0.003834314
361,LOL,O,0.003834314
362,ty,O,0.006772118
363,wow,O,0.006569161
364,no such ting in doto,O,0.026335848
365,gg wp,O,0.004298163
366,u dont have to care,O,0.03626094
367,were fucked up only 1 carry :(,E,0.97614413
368,ez CRYSTAL [SEPA] perra [SEPA] la ptmr vete xonshaotmare [SEPA] noob,E,0.99036837
369,ty and have a nice day,O,0.008781611
370,cats are great. fuck dogs,E,0.9807091
371,fuck don't farm veno,E,0.97826993
372,gg wp guys :) ty for the game!,O,0.019401863
373,GGWP,O,0.003610623
374,gg [SEPA] so bad  [SEPA] beyond stupid,E,0.96161443
375,what what?,O,0.006816819
376,2015 tinker? [SEPA] how does that make any sense,O,0.13328832
377,gg [SEPA] finish fast,O,0.021416375
378,happy def [SEPA] good team,O,0.10459353
379,nvmç,O,0.009604204
380,telling me he's not coming back,A,0.010014403
381,7,O,0.0638152
382,pa dead [SEPA] wtf pause,A,0.030395005
383,mi ulty no ulty omni,O,0.20921835
384,neiter,I,0.1046047
385,u have no bash this game?,O,0.06480176
386,gg wp [SEPA] wp,O,0.00653487
387,ege,O,0.66214097
388,ty [SEPA] potm,O,0.017161654
389,2 times [SEPA] ultrakill,O,0.288069
390,ty,O,0.006772118
391,ty [SEPA] cf [SEPA] xd,O,0.01653152
392,invoker  [SEPA] wtf,E,0.040813837
393,ez saimung mata,I,0.9867899
394,hahaha,O,0.006264759
395,no),O,0.011269053
396,easiest game of my life,I,0.3590603
397,doom goes alone too much [SEPA] fking him,E,0.2852238
398,fuck you,E,0.97931457
399,steam ofline ?,O,0.009062768
400,lol [SEPA] i said,O,0.004645926
401,sryt,O,0.008563844
402,best team ever [SEPA] 3-10 [SEPA] 3-13 [SEPA] 0-4 [SEPA] 5-12,I,0.92506605
403,ofline,O,0.006688534
404,gay morps,E,0.7997958
405,gg,O,0.003705064
406,lolol,O,0.004972064
407,then dont play dota,O,0.021287471
408,WINDOWS UPDATE BOYS,O,0.024494017
409,wp all team,O,0.0546393
410,DONT AM,O,0.015499791
411,a3 slivaetsya,O,0.03593051
412,haha,O,0.005444543
413,how do you fucking die 4 times in 5 mins [SEPA] to a fucking support,E,0.9846523
414,free bot for you doom,O,0.10980588
415,LOL,O,0.003834314
416,but still didn't,O,0.006576282
417,ggwp,O,0.003610623
418,look,O,0.009401183
419,gg,O,0.003705064
420,report this wyvern [SEPA] stupid piece of fuck,E,0.98529196
421,really? [SEPA] wp,O,0.008260508
422,alrighty,O,0.014051196
423,FUCK THAT WR CUNT,E,0.9744047
424,gg suport,O,0.005505555
425,gg wp,O,0.004298163
426,well thank wr,O,0.006809324
427,dk korean [SEPA] gg,O,0.034379065
428,u to ss,O,0.033016626
429,w8 please [SEPA] 1k de ping,A,0.01182924
430,wr is,O,0.008069175
431,cant move,O,0.011948762
432,fuck off wd,E,0.9776723
433,mema,O,0.018712612
434,wp,O,0.004130142
435,GG,O,0.003705064
436,1 for 5 not bad,O,0.21849039
437,now they know [SEPA] ggwp,O,0.006379468
438,do u guys have a twitter??,O,0.055011287
439,mech razor op,O,0.035469916
440,ty,O,0.006772118
441,haha,O,0.005444543
442,TINKER NO SKILL 3 [SEPA] PRO,O,0.13498232
443,i havent wake up sia,O,0.015904406
444,play 1 v1,I,0.08150943
445,IS REAL,O,0.06302019
446,and ranged,O,0.005184061
447,ez mid,I,0.9909566
448,"this bicht, last pick and no help, no wards and no tps",E,0.33845848
449,pause game [SEPA] pls [SEPA] bug,A,0.5135725
450,without doom this game will carry another 60min [SEPA] just leave [SEPA] xD,O,0.041765623
451,give me dota mythical then i think about it,O,0.012836027
452,wow,O,0.006569161
453,jojojojojo,O,0.010160551
454,actually [SEPA] I'm 8k on my main [SEPA] with ES [SEPA] so you lost [SEPA] Gg,O,0.03184541
455,eZ DUDE,I,0.99076146
456,lagging [SEPA] lol,O,0.007010341
457,BOOM,O,0.019358488
458,LOL,O,0.003834314
459,"Only 1 guy unpaused, not everyone smart one",A,0.29853532
460,Y GOD,O,0.012698767
461,defend,O,0.010295476
462,tped [SEPA] wkwkwkkw,O,0.09470515
463,GG wp,O,0.004298163
464,?,O,0.005423264
465,Sad you too [SEPA] noob all,E,0.9893511
466,casual 5k players,O,0.4356985
467,TP,O,0.009433972
468,brushan down,O,0.009560682
469,no [SEPA] you could,O,0.014812528
470,the comeback is real,O,0.032598622
471,MORE MORE GANKS PLS [SEPA] TREASH,E,0.04551229
472,HAHA,O,0.005444543
473,Report tusk,A,0.039068356
474,lina suck [SEPA] can we go [SEPA] you want him feed more ah?,E,0.8941623
475,wp,O,0.004130142
476,useless,I,0.8494687
477,hehe,O,0.006088088
478,cary,O,0.007597319
479,:),O,0.005566981
480,gg,O,0.003705064
481,HAHAHA,O,0.006264759
482,xD,O,0.005783994
483,lolz [SEPA] this am,O,0.027145786
484,Ow,O,0.018521199
485,thanks for not shutting down am,O,0.008841887
486,PUnit,O,0.023041114
487,wp invoker,O,0.012733379
488,,O,0.004165188
489,gg I guess,O,0.01133069
490,nice throw :),O,0.010014351
491,go end [SEPA] i will feed cours [SEPA] top [SEPA] come [SEPA] come top,I,0.043756194
492,take a  [SEPA] chill pill,O,0.030481782
493,y [SEPA] ez mmr,I,0.98778665
494,)) [SEPA] ))))))),O,0.021127973
495,: ( [SEPA] XAXA,O,0.009358476
496,bad ultimate ^^,O,0.023665655
497,gg,O,0.003705064
498,=)))),O,0.009207826
499,?,O,0.005423264
500,DONT CALL GG AND PLAY BIATCH,O,0.049394395
501,gg,O,0.003705064
502,gg shadow,O,0.00568426
503,u gay?,E,0.80098623
504,Wow [SEPA] Dat luck,O,0.01964704
505,w0w [SEPA] y do u h8,O,0.01473971
506,^_^,O,0.007004953
507,jaja yiyi,O,0.007444235
508,chill,O,0.010805847
509,invoker,O,0.04210436
510,Ur mam [SEPA] TOP KEK,O,0.01908599
511,throws ftw,O,0.04300374
512,wp,O,0.004130142
513,wtf,O,0.006190833
514,ggwp,O,0.003610623
515,nice blink,O,0.025687786
516,),O,0.005761871
517,:D,O,0.004515493
518,PORR,O,0.034752615
519,this guys,O,0.022314956
520,lucky]0,O,0.18775244
521,abaddon [SEPA] say goodbye,O,0.014182376
522,jajjaa,O,0.010223945
523,gg [SEPA] report this noobs,E,0.9850702
524,pay no attention to the troll,O,0.052309874
525,free evasion,O,0.11942877
526,gays,O,0.5530271
527,ggwp,O,0.003610623
528,ahahaha [SEPA] i love masturbating,E,0.021263085
529,GG,O,0.003705064
530,normal against so much focus [SEPA] i ate 60% of the dire ultimates [SEPA] used in this game [SEPA] alone.,O,0.20677225
531,1 more min ok?,O,0.012373986
532,np bro,O,0.01955292
533,Wtf ese keper jode como mrda,E,0.041127756
534,XD [SEPA] WTF,O,0.009657762
535,lmao,O,0.006989517
536,HAHAHA [SEPA] WTF [SEPA] PUDGE DO ALL EFFORT [SEPA] SO SAD!,O,0.048882693
537,lowl,O,0.015207806
538,noob? [SEPA] 1v1 pls [SEPA] gg,E,0.9852423
539,gg wp [SEPA] noob storm,E,0.9849999
540,ez win,I,0.98893994
541,lol,O,0.003834314
542,yeah your gonna eat it?,O,0.107702926
543,gege,O,0.008831371
544,honesty is the key to life,O,0.06461368
545, bye mmr,O,0.036797002
546,cuming,O,0.07990165
547,wr trolled me,O,0.024904668
548,whats that,O,0.006704362
549,loan money,I,0.17902774
550,u guys can end mid [SEPA] ty,O,0.10881601
551,hey es [SEPA] sk [SEPA] still sure win,O,0.015953057
552,I really feel like im nin 3.5k,O,0.19809619
553,hahaha,O,0.006264759
554,me and the carry player play together,O,0.071803614
555,will get force for u brood :D [SEPA] np,O,0.10428796
556,sps sanya,O,0.018821916
557,commend drow,A,0.059082773
558,lol,O,0.003834314
559,ty PUTIN [SEPA] vodka plz [SEPA] I am CIS-R,O,0.8811291
560,havn't had a game this one sided in a while [SEPA] where im on the winnign team,O,0.17247549
561,all report pudge,A,0.06430151
562,vs 2,O,0.01738525
563,HOLY COINS,O,0.04756302
564,gg,O,0.003705064
565,gg,O,0.003705064
566,dont push,A,0.016534565
567,hey [SEPA] where can i download LoL?,I,0.17920077
568,gg,O,0.003705064
569,Yeah he's been farming heaps,O,0.10462104
570,alright [SEPA] Nobody [SEPA] is gonna help u this time,O,0.17031515
571,defence*,O,0.031270016
572,BEST DAZZLE EVER,O,0.04597239
573,LUCKY,O,0.045037318
574,did qop fail guarding bot?,O,0.03701616
575,wait [SEPA] afk 1,A,0.026191922
576,siht,E,0.007836427
577,centaurs memeing is killing [SEPA] me,O,0.088511065
578,wait,A,0.007002303
579,am $/4 min 26 [SEPA] ..,I,0.11146233
580,gege,O,0.008831371
581,HAHA [SEPA] +58?,O,0.010309492
582,gg wp,O,0.004298163
583,wtf? you dont live with your mum,O,0.105430245
584,just go,O,0.007789406
585,SHACKLESHOT pros ahahahaha xD [SEPA] COMEND WR PLEASE AHAHAAH XD,A,0.01754
586,either way u get the mmr,O,0.0803275
587,ggwp,O,0.003610623
588,?,O,0.005423264
589,yah,O,0.00554757
590,we waited quite a bit [SEPA] that chat log was long,O,0.012189556
591,,O,0.004165188
592,english is kill,O,0.28294107
593,boom,O,0.019358488
594,look at you guys,O,0.01683484
595,what a game,I,0.023482986
596,ez,I,0.9906709
597,Hahaha,O,0.006264759
598,go throne,O,0.011125355
599,dont cooperate,O,0.018705314
600,FEED,E,0.229306
601,gl gl,O,0.004135641
602,gg wp,O,0.004298163
603,look at you noob you dident do shit only your team dide,E,0.9908264
604,report pheonix,A,0.03449315
605,ez slark,I,0.9871616
606,nahuy idi,O,0.019156586
607,report am ty,A,0.018018749
608,my goverment block 2k porn site,O,0.8476182
609,wpgg,O,0.004824936
610,nice losing streak,O,0.017283387
611,hHAHAHA,O,0.005131121
612,easy game,O,0.12257355
613,all dp,O,0.007808412
614,wauiting for wk rad [SEPA] almost,A,0.007239122
615,GG,O,0.003705064
616,VIVA PERU,E,0.32902524
617,ggg,O,0.01904397
618,end now?,O,0.006117424
619,Slardar afk,E,0.011352456
620,that desperationj,O,0.04978452
621,REALY? [SEPA] COME 1-1 [SEPA] PLEASE [SEPA] COME [SEPA] sCARE?,O,0.10969769
622,2 idiot frens,E,0.97832423
623,lel [SEPA] Lel [SEPA] LEL,O,0.005972257
624,` [SEPA] gege wpee [SEPA] gg  [SEPA] fun to play PA [SEPA] u disgusting cuck,E,0.495651
625,1-7 [SEPA] xD [SEPA] PICK LC,I,0.18716945
626,RLY??? [SEPA] GO KILL SUPPORT!!!,O,0.02042006
627,1v1,O,0.110081784
628,:(,O,0.005048235
629,2100 [SEPA] wa,O,0.012447133
630,gg fam,O,0.010173398
631,dont deff,O,0.019202953
632,am owned,O,0.08129018
633,gg,O,0.003705064
634,inhouse?,O,0.014996551
635,pudge jungle < pudge mid,O,0.12129398
636,i want too [SEPA] slark items [SEPA] =) [SEPA] finish im done,O,0.05484778
637,hahahaha,O,0.006988448
638,GG [SEPA] report alche,A,0.02826382
639,REPORTE ALL PLS,I,0.015508991
640,done,O,0.008000121
641,end fast another noob pinoy team,E,0.9708638
642,lol lucker,O,0.013338526
643,next time u get vs,O,0.021369169
644,ez [SEPA] gg,I,0.9883416
645,"we were playing 4 vs 6 , lina whit enemies",O,0.04241789
646,fuck u very much,E,0.98155737
647,wait pls,A,0.007834143
648,pls report syllabear,A,0.04079329
649,gg,O,0.003705064
650,NC JOB [SEPA] fucking legend <# [SEPA] <3,E,0.95037955
651,catapult <3,O,0.020860033
652,bring it,O,0.008147035
653,u just need to buy a mouse and a keyboard,O,0.063496225
654,haha,O,0.005444543
655,sooooo,O,0.022198444
656,:D ahahaa,O,0.005149818
657,hahaha,O,0.006264759
658,hahah,O,0.005882741
659,he buys a gem for no reason,O,0.08853378
660,GG [SEPA] END [SEPA] HAHA,O,0.008665763
661,ez baits,I,0.9900607
662,dont be ride [SEPA] rude,O,0.061615057
663,got juked through those trees just then [SEPA] mate [SEPA] I am [SEPA] and i have a good reason to,O,0.02259205
664,end na bobo [SEPA] pudge lina,O,0.12991314
665,me for wreking u,O,0.025547817
666,gg,O,0.003705064
667,i tried  but game s ahrd,O,0.024182832
668,I have to sleep soon,O,0.026078574
669,gay hero,E,0.5150345
670,omg [SEPA] end [SEPA] omg [SEPA] attitude [SEPA] end,A,0.03625207
671,gg,O,0.003705064
672,shit,E,0.97711915
673,did zmuffinman die,O,0.032654125
674,lel,O,0.004434214
675,ez mi,I,0.989361
676,Easy [SEPA] Easy game,I,0.18929732
677,just eng [SEPA] our mid is so good [SEPA] holu shittttt,E,0.97097397
678,account buyers is real,I,0.25396135
679,:),O,0.005566981
680,cyka blyat,E,0.0621268
681,HAHAHHA,O,0.006109193
682,so is your build,O,0.017670559
683,nice spark,O,0.007601657
684,1 on 1 ursa no item,O,0.39566645
685,gg,O,0.003705064
686,da,O,0.004087423
687,GG,O,0.003705064
688,wtf [SEPA] i hate pause [SEPA] FUCKING,E,0.9772724
689,OI IDI NAHYI NYLEVOY,O,0.022964517
690,LOL,O,0.003834314
691,HAHAHAHAHAHAHAHAHAHAHAHAHAHA [SEPA] HAHAHAHAHAHAHAHAHAHA,O,0.02397598
692,how to use am ulti [SEPA] :D,O,0.029755164
